Disease,Crop_English,Crop_Marathi,Disease_Type,Generic_Advice,Chemical_Company_Product,Chemical_Verification,Organic_Company_Product,Organic_Verification,Maharashtra_Availability,Withholding_Period
Apple Scab,Apple,सफरचंद,Fungal,Use protectant fungicides,Bayer Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG),Nationally Registered,Bordeaux Mixture 1% (Standard Formulation),Traditional Formula,Available in Krushi Kendra,7-14 days
Black Rot,Apple,सफरचंद,Fungal,Prune infected wood and spray,Indofil M-45 (Mancozeb 75% WP),Nationally Registered,AgriGold Bacillus subtilis BioFungicide,ICAR Approved,Widely Available,14 days
Cedar Apple Rust,Apple,सफरचंद,Fungal,Remove galls and apply fungicide,Godrej Agrovet Sulfur 80% WP,Nationally Registered,Multiplex Neem Plus 3% EC,Botanical Method,Widely Available,7 days
Powdery Mildew,Cherry,चेरी,Fungal,Apply sulfur or systemic fungicide,BASF Hexaconazole 5% EC (Contaf),Nationally Registered,Godrej Agrovet Sulfur 80% WP,Registered Product,Widely Available,3-7 days
Cercospora Leaf Spot,Corn,मका,Fungal,Apply fungicide at early stage,Sumitomo Chlorothalonil 75% WP (Kavach),Nationally Registered,Joshi Biotech Trichoderma Viride 1% WP,ICAR Approved,Available through Cooperatives,14 days
Gray Leaf Spot,Corn,मका,Fungal,Apply systemic fungicide,Syngenta Amistar (Azoxystrobin 23% SC),Nationally Registered,Joshi Biotech Trichoderma Viride 1% WP,ICAR Approved,Available in Krushi Kendra,14 days
Common Rust,Corn,मका,Fungal,Spray resistance varieties and fungicides,BASF Hexaconazole 5% EC (Contaf),Nationally Registered,Godrej Agrovet Sulfur 80% WP,Registered Product,Widely Available,7-10 days
Northern Leaf Blight,Corn,मका,Fungal,Use protectant or systemic fungicide,Indofil M-45 (Mancozeb 75% WP),Nationally Registered,AgriGold Bacillus subtilis BioFungicide,ICAR Approved,Widely Available,14 days
Black Rot,Grape,द्राक्षे,Fungal,Use protectant fungicides,Bayer Nativo (Tebuconazole 50% + Trifloxystrobin 25% WG),Nationally Registered,Bordeaux Mixture 1% (Standard Formulation),Traditional Formula,Available in Vineyards,14 days
Esca (Black Measles),Grape,द्राक्षे,Fungal,Remove infected wood and seal cuts,Rallis Copper Oxychloride 50% WP (Blitox),Nationally Registered,Joshi Biotech Trichoderma T-22,ICAR Approved,Available in Krushi Kendra,21 days
